Country Code,Year,Sex Ratio
AFG,2000,1.031766200762389
AGO,2000,4.788649706457925
ALB,2000,2.7045454545454546
ARE,2000,4.104166666666667
ARG,2000,4.438759689922481
ARM,2000,2.8214285714285716
ATG,2000,inf
AUS,2000,3.7416666666666667
AUT,2000,2.9693251533742333
AZE,2000,4.30188679245283
BDI,2000,2.515837104072398
BEL,2000,2.566287878787879
BEN,2000,3.057471264367816
BFA,2000,2.898710865561694
BGD,2000,3.0197974217311234
BGR,2000,2.9225589225589226
BHR,2000,5.571428571428571
BHS,2000,3.0
BIH,2000,3.656716417910448
BLR,2000,6.455268389662028
BLZ,2000,5.25
BOL,2000,2.293577981651376
BRA,2000,4.0346347607052895
BRB,2000,6.0
BRN,2000,5.0
BTN,2000,1.8571428571428572
BWA,2000,3.462857142857143
CAF,2000,3.58364312267658
CAN,2000,3.25968992248062
CHE,2000,2.632911392405063
CHL,2000,6.345132743362832
CHN,2000,1.1265172421529694
CIV,2000,4.746268656716418
CMR,2000,3.0436507936507935
COD,2000,4.295420974889217
COG,2000,2.663677130044843
COL,2000,3.1085714285714285
COM,2000,2.0
CPV,2000,4.6
CRI,2000,7.65625
CUB,2000,2.533199195171026
CYP,2000,2.0
CZE,2000,4.189591078066915
DEU,2000,3.152572706935123
DJI,2000,2.2962962962962963
DNK,2000,2.884393063583815
DOM,2000,5.176470588235294
DZA,2000,1.7313432835820894
ECU,2000,2.3056603773584907
EGY,2000,1.7648970747562296
ESP,2000,3.3725806451612903
EST,2000,3.9027777777777777
ETH,2000,2.299542887873084
FIN,2000,3.0471014492753623
FJI,2000,1.9090909090909092
FRA,2000,2.7468305800998847
FSM,2000,3.4285714285714284
GAB,2000,4.413043478260869
GBR,2000,3.1683532658693654
GEO,2000,4.8936170212765955
GHA,2000,6.043321299638989
GIN,2000,1.8650519031141868
GMB,2000,2.127659574468085
GNB,2000,3.036363636363636
GNQ,2000,4.217391304347826
GRC,2000,3.8
GRD,2000,inf
GTM,2000,5.640495867768595
GUY,2000,3.962962962962963
HND,2000,4.638888888888889
HRV,2000,3.64375
HTI,2000,1.2851153039832286
HUN,2000,3.6859083191850592
IDN,2000,2.623704371338441
IND,2000,1.3010844069755583
IRL,2000,4.464285714285714
IRN,2000,1.772870662460568
IRQ,2000,2.154040404040404
ISL,2000,3.375
ISR,2000,3.831460674157303
ITA,2000,3.0226986128625475
JAM,2000,3.6666666666666665
JOR,2000,2.016949152542373
JPN,2000,2.69388413748588
KAZ,2000,5.82633371169126
KEN,2000,2.981060606060606
KGZ,2000,5.470588235294118
KHM,2000,1.7403846153846154
KIR,2000,5.2
KWT,2000,3.769230769230769
LAO,2000,1.6724137931034482
LBN,2000,1.5434782608695652
LBR,2000,1.625
LBY,2000,2.3176470588235296
LCA,2000,5.5
LKA,2000,2.949165402124431
LSO,2000,4.272189349112426
LTU,2000,4.63859649122807
LUX,2000,2.75
LVA,2000,4.925
MAR,2000,1.706540447504303
MDA,2000,6.71875
MDG,2000,2.5196687370600412
MDV,2000,3.6666666666666665
MEX,2000,6.048736462093863
MKD,2000,2.54
MLI,2000,1.4483627204030227
MLT,2000,3.8
MMR,2000,2.928115015974441
MNE,2000,2.8666666666666667
MNG,2000,3.658536585365854
MOZ,2000,3.7712177121771218
MRT,2000,1.646153846153846
MUS,2000,3.7241379310344827
MWI,2000,3.691983122362869
MYS,2000,3.045325779036827
NAM,2000,3.8773584905660377
NER,2000,1.845953002610966
NGA,2000,2.7315653298835705
NIC,2000,2.532608695652174
NLD,2000,2.1148325358851676
NOR,2000,3.210144927536232
NPL,2000,6.86053412462908
NZL,2000,4.5813953488372094
OMN,2000,6.45
PAK,2000,3.012990320937341
PAN,2000,6.913043478260869
PER,2000,1.9088050314465408
PHL,2000,3.227699530516432
PNG,2000,3.275
POL,2000,5.381621621621622
PRT,2000,4.205357142857143
PRY,2000,1.9696969696969697
QAT,2000,7.8
ROU,2000,5.023584905660377
RUS,2000,5.827688480673555
RWA,2000,2.647887323943662
SAU,2000,4.856060606060606
SDN,2000,1.8106617647058822
SEN,2000,3.336283185840708
SGP,2000,2.052287581699346
SLB,2000,17.0
SLE,2000,2.18
SLV,2000,2.894230769230769
SOM,2000,3.3
SRB,2000,2.764857881136951
SSD,2000,3.165289256198347
STP,2000,2.0
SUR,2000,3.2857142857142856
SVK,2000,4.815126050420168
SVN,2000,3.0703125
SWE,2000,2.232142857142857
SWZ,2000,2.908256880733945
SYC,2000,7.0
SYR,2000,3.643835616438356
TCD,2000,3.191950464396285
TGO,2000,3.0700934579439254
THA,2000,2.2541998231653406
TJK,2000,2.522222222222222
TKM,2000,5.019047619047619
TLS,2000,2.0714285714285716
TON,2000,1.5
TTO,2000,4.175
TUN,2000,2.032
TUR,2000,3.421311475409836
TZA,2000,2.9926686217008798
UGA,2000,4.350435624394966
UKR,2000,6.424798567591764
URY,2000,4.747126436781609
USA,2000,3.9799196787148596
UZB,2000,4.036974789915966
VCT,2000,inf
VEN,2000,6.692682926829268
VNM,2000,1.773117254528122
VUT,2000,3.7777777777777777
WSM,2000,3.142857142857143
YEM,2000,1.64349376114082
ZAF,2000,3.5805597579425115
ZMB,2000,2.4330708661417324
ZWE,2000,1.902552204176334
AFG,2001,1.0591073582629675
AGO,2001,4.826923076923077
ALB,2001,2.2444444444444445
ARE,2001,4.204081632653061
ARG,2001,4.151238591916558
ARM,2001,3.619047619047619
ATG,2001,inf
AUS,2001,3.5744234800838575
AUT,2001,3.0134228187919465
AZE,2001,3.967741935483871
BDI,2001,2.3967517401392113
BEL,2001,2.8519269776876266
BEN,2001,3.0892193308550184
BFA,2001,2.909426987060998
BGD,2001,2.9760536398467434
BGR,2001,3.1312741312741315
BHR,2001,5.777777777777778
BHS,2001,3.5
BIH,2001,3.6666666666666665
BLR,2001,6.6467065868263475
BLZ,2001,6.0
BOL,2001,2.291079812206573
BRA,2001,3.9726103968697597
BRB,2001,inf
BRN,2001,inf
BTN,2001,1.7333333333333334
BWA,2001,3.425287356321839
CAF,2001,3.62015503875969
CAN,2001,3.29757343550447
CHE,2001,2.4968152866242037
CHL,2001,6.165938864628821
CHN,2001,1.1963596744215856
